Feature,Importance
AsR_500m_mean,0.4047381
AsR_2000m_mean,0.29703677
AsR_1000m_mean,0.11353742
ClayR,0.043809872
CdR_500m_mean,0.02691954
CdR,0.023043644
CdR_500m_std,0.021550534
AsR_1000m_std,0.015300495
hydrological_dist_to_nearest_IND,0.011672974
CdR_1000m_mean,0.004441915
SandR,0.0038007295
NiR_500m_std,0.0033054827
MR,0.0022881955
CdR_2000m_mean,0.0020963717
hydrological_dist_to_nearest_BF,0.0019600713
CuR_2000m_std,0.0019024232
SiltR,0.0018986294
PbR,0.0017564736
ClayR_1000m_std,0.001658137
num_upstream_IND,0.0015715539
ClayR_1000m_mean,0.0013885994
FeR,0.0011264513
ClayR_500m_mean,0.0010258532
SandR_1000m_mean,0.0009048413
num_upstream_BF,0.0008121286
ClayR_2000m_std,0.0007097832
CuR_500m_std,0.00070838915
CrR_500m_std,0.0006850824
SiltR_500m_std,0.0006094787
CuR_500m_mean,0.00054453925
NiR,0.00042885877
SandR_500m_mean,0.00041394462
CrR_1000m_mean,0.00040825104
NiR_1000m_mean,0.00035326972
CrR,0.00034777852
ClayR_500m_std,0.0003206244
CrR_2000m_mean,0.00031545313
Pb_R_500m_std,0.0002959009
SandR_500m_std,0.00028367373
SiltR_500m_mean,0.0002715837
SiltR_2000m_std,0.00025144266
CuR,0.0002422566
GWR_Adjusted,0.00023039563
CuR_1000m_std,0.00021590106
PMF_Factor1,0.00021117071
ClayR_2000m_mean,0.00020960426
Pb_R_2000m_std,0.00020020595
SandR_2000m_mean,0.00018301737
Pb_R_500m_mean,0.00017995857
NiR_2000m_std,0.00015857848
CdR_1000m_std,0.00015289943
NiR_1000m_std,0.00014425993
CrR_2000m_std,0.00014205245
AsR_500m_std,0.00014142212
PMF_Factor0,0.00013061054
NiR_2000m_mean,9.3687915e-05
CrR_500m_mean,8.65915e-05
PMF1_GWR,7.3681345e-05
CuR_2000m_mean,7.0648864e-05
CdR_2000m_std,6.921969e-05
Pb_R_1000m_mean,6.4016815e-05
AsR_2000m_std,6.1970444e-05
SandR_1000m_std,6.073429e-05
CuR_1000m_mean,5.213434e-05
CrR_1000m_std,4.0514627e-05
SiltR_1000m_mean,4.0338553e-05
SandR_2000m_std,3.9113496e-05
NiR_500m_mean,3.905142e-05
PMF_Factor2,3.6791174e-05
Pb_R_1000m_std,3.1122192e-05
PMF0_GWR,2.8114906e-05
SiltR_2000m_mean,2.799925e-05
SiltR_1000m_std,2.5939002e-05
PMF2_GWR,1.2965194e-05
Pb_R_2000m_mean,7.782893e-06
ui_500m_mean,0.0
LULC2017_2000m_std,0.0
LULC2019_1000m_std,0.0
LULC2019_1000m_mean,0.0
LULC2019_500m_std,0.0
LULC2019_500m_mean,0.0
LULC2018_2000m_std,0.0
LULC2018_2000m_mean,0.0
LULC2018_1000m_std,0.0
LULC2018_1000m_mean,0.0
LULC2018_500m_std,0.0
LULC2018_500m_mean,0.0
LULC2017_2000m_mean,0.0
ndbi_2000m_mean,0.0
LULC2017_1000m_std,0.0
LULC2017_1000m_mean,0.0
LULC2017_500m_std,0.0
LULC2017_500m_mean,0.0
ndvi_1000m_std,0.0
ndvi_2000m_mean,0.0
ndvi_2000m_std,0.0
ndbi_500m_mean,0.0
ndbi_500m_std,0.0
ndbi_1000m_mean,0.0
LULC2019_2000m_mean,0.0
LULC2019_2000m_std,0.0
LULC2020_500m_mean,0.0
LULC2022_500m_std,0.0
ndwi_1000m_std,0.0
ndwi_2000m_mean,0.0
ndwi_2000m_std,0.0
ndvi_500m_mean,0.0
ndvi_500m_std,0.0
ndvi_1000m_mean,0.0
LULC2022_2000m_std,0.0
LULC2022_2000m_mean,0.0
LULC2022_1000m_std,0.0
LULC2022_1000m_mean,0.0
LULC2022_500m_mean,0.0
LULC2020_500m_std,0.0
LULC2021_2000m_std,0.0
LULC2021_2000m_mean,0.0
LULC2021_1000m_std,0.0
LULC2021_1000m_mean,0.0
LULC2021_500m_std,0.0
LULC2021_500m_mean,0.0
LULC2020_2000m_std,0.0
LULC2020_2000m_mean,0.0
LULC2020_1000m_std,0.0
LULC2020_1000m_mean,0.0
ndbi_1000m_std,0.0
ndbi_2000m_std,0.0
ui_500m_std,0.0
ndsi_2000m_std,0.0
ndbsi_1000m_mean,0.0
ndwi_1000m_mean,0.0
ndbsi_1000m_std,0.0
ndbsi_2000m_mean,0.0
ndbsi_2000m_std,0.0
ndsi_500m_mean,0.0
ndsi_500m_std,0.0
ndsi_1000m_mean,0.0
ndsi_1000m_std,0.0
ndsi_2000m_mean,0.0
savi_500m_mean,0.0
awei_500m_mean,0.0
savi_500m_std,0.0
savi_1000m_mean,0.0
savi_1000m_std,0.0
savi_2000m_mean,0.0
savi_2000m_std,0.0
ndwi_500m_mean,0.0
ui_2000m_std,0.0
ui_2000m_mean,0.0
ui_1000m_std,0.0
ui_1000m_mean,0.0
ndbsi_500m_std,0.0
ndbsi_500m_mean,0.0
mndwi_2000m_std,0.0
mndwi_2000m_mean,0.0
awei_500m_std,0.0
awei_1000m_mean,0.0
awei_1000m_std,0.0
awei_2000m_mean,0.0
awei_2000m_std,0.0
bui_500m_mean,0.0
bui_500m_std,0.0
bui_1000m_mean,0.0
bui_1000m_std,0.0
bui_2000m_mean,0.0
bui_2000m_std,0.0
evi_500m_mean,0.0
evi_500m_std,0.0
evi_1000m_mean,0.0
evi_1000m_std,0.0
evi_2000m_mean,0.0
evi_2000m_std,0.0
mndwi_500m_mean,0.0
mndwi_500m_std,0.0
mndwi_1000m_mean,0.0
mndwi_1000m_std,0.0
ndwi_500m_std,0.0
