Feature,Importance
Pb_R_500m_mean,0.47162092
PbR,0.3659194
NiR,0.09718943
CuR,0.019139295
CdR,0.014420952
CuR_500m_mean,0.010196632
NiR_500m_mean,0.0070109707
CrR,0.002467133
SiltR,0.0021357809
AsR,0.0015323225
SandR,0.0012007294
CrR_500m_mean,0.0010200955
ClayR,0.0010163333
AsR_500m_std,0.00080574694
hydrological_dist_to_nearest_BF,0.0007090182
SandR_500m_std,0.0006964557
AsR_500m_mean,0.00063807965
MR,0.00026476083
CdR_500m_mean,0.00024262173
SiltR_500m_std,0.00021931106
hydrological_dist_to_nearest_IND,0.00019439138
FeR,0.00017247861
SandR_500m_mean,0.00017216147
PMF_Factor2,0.0001515438
PMF0_GWR,0.00010638342
CrR_500m_std,9.927266e-05
num_upstream_BF,9.526278e-05
NiR_500m_std,8.110253e-05
ClayR_500m_mean,6.3555075e-05
Pb_R_500m_std,5.402141e-05
num_upstream_IND,5.2237603e-05
SiltR_500m_mean,5.00488e-05
CuR_500m_std,4.9540224e-05
CdR_500m_std,4.8983813e-05
ClayR_500m_std,4.2292766e-05
PMF1_GWR,3.6734305e-05
PMF_Factor0,2.7978609e-05
PMF2_GWR,2.6532525e-05
PMF_Factor1,2.0487249e-05
GWR_Adjusted,8.951485e-06
ndwi_500m_std,0.0
LULC2021_500m_std,0.0
LULC2018_500m_std,0.0
LULC2019_500m_mean,0.0
LULC2019_500m_std,0.0
LULC2020_500m_mean,0.0
LULC2020_500m_std,0.0
LULC2021_500m_mean,0.0
LULC2022_500m_mean,0.0
ui_500m_std,0.0
LULC2022_500m_std,0.0
awei_500m_std,0.0
awei_500m_mean,0.0
ndbi_500m_std,0.0
ndbi_500m_mean,0.0
LULC2018_500m_mean,0.0
LULC2017_500m_std,0.0
LULC2017_500m_mean,0.0
ndsi_500m_mean,0.0
ui_500m_mean,0.0
savi_500m_std,0.0
savi_500m_mean,0.0
ndwi_500m_mean,0.0
ndsi_500m_std,0.0
ndvi_500m_std,0.0
ndbsi_500m_std,0.0
bui_500m_mean,0.0
ndbsi_500m_mean,0.0
mndwi_500m_std,0.0
mndwi_500m_mean,0.0
evi_500m_std,0.0
evi_500m_mean,0.0
bui_500m_std,0.0
ndvi_500m_mean,0.0
