Models,R2,RMSE,MAE,SMAPE
CNN GAT MLP,0.9177,20.3767,14.8821,10.2815
CNN GNN MLP PG,0.9541,16.9342,15.1297,4.9237
CNN GNN MLP,0.8768,27.7525,21.4899,10.1928
Dual Attention,0.8402,31.9021,29.2886,19.2817
GNN MLP AE,0.9718,8.0434,7.3433,5.8565
GNN MLP,0.9705,11.0783,8.2154,5.9768
Mixture of Experts,0.97,13.7056,10.0531,6.4779
Stacked CNN GNN MLP,0.9685,14.0418,10.9236,6.2405
Transformer CNN GNN MLP,0.9721,7.9921,6.5526,4.451
