Model,R² (89 feat),R² (20 feat),Improvement,RMSE (89),RMSE (20)
1. Transformer CNN GNN MLP,0.0779713174211018,0.7671913906063343,0.6892,45.97272414261523,23.100827737398088
2. GNN MLP AE,0.551514467240788,0.9724535819737213,0.4209,32.06285878798068,7.946220096951289
3. CNN GNN MLP PG,-6.6575024054510665,-1.416425899042176,5.2411,132.4864899438141,74.4243009543129
4. GNN MLP,0.7022148358288669,0.7794836753305187,0.0773,26.126398803719812,22.48269640300621
5. Stacked CNN GNN MLP,-0.6714977897402765,0.8302715558529509,1.5018,61.89861427256579,19.724469811697357
