Model,R²,RMSE,MAE,SMAPE
1. Transformer CNN GNN MLP,0.07797131742110186,45.97272414261523,41.27793960571289,26.019472873640826
2. GNN MLP AE,0.551514467240788,32.06285878798068,30.764321975708004,20.35071784075766
3. CNN GNN MLP PG,-6.6575024054510665,132.4864899438141,120.93429542541503,89.93939463234067
4. GNN MLP,0.7022148358288669,26.126398803719812,25.822681121826168,18.063915524848532
5. Stacked CNN GNN MLP,-0.6714977897402765,61.89861427256579,38.21801834106445,23.884368279003482
