CrR,NiR,CuR,AsR,CdR,PbR,MR,SandR,SiltR,ClayR,FeR,RI,Long,Lat,Source,num_brick_field,num_industry,hydro_dist_brick,hydro_dist_ind,LULC_2017,LULC_2018,LULC_2019,LULC_2020,LULC_2021,LULC_2022,CVA_Magnitude,CVA_Direction
84.1828485295853,21.78349512918816,43.805705728070535,9.026027984547703,2.6337130551825836,51.46514781551245,32.23779747011517,21.31890581336839,45.712943295958404,32.46906530512477,29346.421505610386,134.2259559960962,90.23547680774261,23.957337379409662,River_Interpolated,1,1,1622.594373218396,2350.5318547086317,1,1,1,1,1,1,0.0,0.0
86.05063325438229,21.186486370412,43.03386847652912,8.822183042765447,2.643217577516859,51.076883873590326,32.25273216637159,21.370576358351197,45.3231327136632,32.9000592980068,28844.49295282348,133.67378414834485,90.2358254297866,23.948273206266116,River_Interpolated,1,1,770.2475251501947,1351.4459848621402,1,1,1,1,1,1,0.0,0.0
88.61400651172664,20.39137059725654,41.978192679415244,8.533048563690679,2.6539283737512727,50.628448753121056,32.288988515194504,21.519479470298094,44.66097354293473,33.545808380487195,28105.53565413133,133.04482439832705,90.23106092851883,23.938046959642627,River_Interpolated,1,1,1248.1235916366616,503.1152949374527,1,1,1,1,1,1,0.0,0.0
90.6208885650681,19.780963844828353,41.16117241464263,8.280116103604456,2.659766907867842,50.468107577510985,32.346211451698366,21.692287312038527,44.00120828945576,34.15128545089035,27473.442231354627,132.83692196290903,90.22478573172715,23.928169335063124,River_Interpolated,1,1,2003.2785627565627,1400.0558024593163,1,1,1,1,1,1,0.0,0.0
89.62881725681386,20.082036669448062,41.538263788970625,8.481511391513624,2.6617513248386584,50.028354655590775,32.244573398632454,21.544557261100636,44.601627747554126,33.597223425681456,27886.553961165177,132.17050944667528,90.207935666268,23.92166172357545,River_Interpolated,1,1,1662.6879592996395,1915.43891836832,7,7,7,7,7,7,0.0,0.0
91.77658636363425,19.43680562083587,40.69978486985556,8.108765267163795,2.6609778232924963,50.55653051936089,32.40584062400403,21.83353537659497,43.5013715643712,34.592465157035925,27064.42843907796,132.98618510130305,90.22594780520708,23.921080686835477,River_Interpolated,1,1,2564.23721601571,805.1591457593958,1,1,1,1,1,1,0.0,0.0
92.51733212908087,19.226459497084136,40.40749285178448,7.989525196669118,2.6604233850288397,50.68589242260225,32.455943582092154,21.96134627989487,43.10784773774034,34.91630712809605,26773.981346200664,133.19114879927207,90.22838815951496,23.9146892826958,River_Interpolated,1,3,2943.451417978561,486.21625846941805,1,1,1,1,1,1,0.0,0.0
92.094342774528,19.318835886085267,40.56725559851637,8.076956079480212,2.663955020883628,50.45692635058201,32.40104272673534,21.792268753587035,43.50879234047321,34.64063114374124,27008.426465699347,132.83999284611264,90.22943402564691,23.902255096460422,River_Interpolated,1,2,2030.1246882888745,277.5450413896815,1,1,1,1,1,1,0.0,0.0
90.33742016074146,19.63217200530885,41.21818868596004,8.473572959557847,2.685794179819177,49.218360659127285,32.12126152423237,20.85857286881577,45.56568142214734,33.31728572006829,28135.85682374912,130.94447716285964,90.2317581726068,23.894469204144812,River_Interpolated,1,1,1958.9936829913465,1023.5508047967136,1,1,1,1,1,1,0.0,0.0
87.37106443407039,19.582496132188904,42.2133829595222,9.417723065954492,2.7815964991205,44.76722973342569,31.22398033743168,17.379256160356366,52.2562750391462,29.61889363924799,31302.1609872991,124.15756852688723,90.2317581726068,23.881918810561448,River_Interpolated,1,1,2275.034340400162,2346.0405473904325,1,1,1,1,1,1,0.0,0.0
87.88420169505042,17.841779536136904,41.89065710214663,9.975447834246708,2.9251926327461297,39.40759053989465,30.254363877604266,12.753180706938464,59.93098237891966,26.337173966150434,34208.00663332418,116.01845762983113,90.23489577100264,23.867160477366188,River_Interpolated,1,1,2779.866228795911,4008.2921862059907,1,1,1,1,1,1,0.0,0.0
87.97133565232848,17.59148847380834,41.78775428434577,9.984203250671351,2.94788311884213,38.95241183134091,30.14984843812118,11.89151488748746,61.072863755686306,26.019402898658633,34658.190779977136,115.29201599806991,90.24093855309835,23.85193731477895,River_Interpolated,1,1,3286.715685908959,2291.560603606197,1,1,1,1,1,1,0.0,0.0
81.38827480155535,23.156232314022308,44.89861346537463,11.679061705191826,2.6663374307929844,38.12017661792542,30.434183229479732,23.427281403839984,49.728300883222495,25.325386153147882,31072.100776218693,114.73494930799605,90.24477339558214,23.836597944843724,River_Interpolated,1,1,1938.951069521869,579.8706752371601,1,1,1,1,1,1,0.0,0.0
72.11908662467869,31.457165922379286,48.56601397842154,14.114894946235475,2.301772080347035,35.52203755711634,30.606980250889265,38.53125642007823,34.97383444454265,23.829140353070272,26602.16695959669,111.68229200660919,90.24825961602197,23.823350307172387,River_Interpolated,1,2,531.8011846545662,388.90872965260115,1,1,1,1,1,1,0.0,0.0
66.92856093599616,36.52962241217258,49.982604620748205,15.37961874924402,2.1324425439344745,34.024949574925735,30.613287134097284,45.565019530527024,27.71993537313976,23.103371545507514,24650.602044061314,109.80445637221605,90.24732995723802,23.81196198706896,River_Interpolated,1,1,811.730404752711,995.1444618747571,1,1,1,1,1,1,0.0,0.0
66.87604216618719,37.43602864873097,49.55886115309325,15.482765165196263,2.101452335397462,32.91385227341057,30.585293580704406,46.929986426592684,26.11635948111395,22.99826710154319,24019.644196661855,108.11529526896565,90.24488960293014,23.79976021552957,River_Interpolated,1,1,2116.9701226044735,1057.4881796029683,1,1,1,1,1,1,0.0,0.0
64.98443698811192,33.56169106599802,54.864183971219276,16.209071289856443,2.042694973468164,36.314175047020555,30.88421445087629,48.78565812859109,27.80160230586697,21.507728691199496,24796.026958364797,114.0322571888351,90.23931165022643,23.78465326029033,River_Interpolated,1,1,1486.6068747318507,451.7327749898163,1,1,1,1,1,1,0.0,0.0
57.568293366285886,27.24190831378796,67.26045369441802,18.333569976357406,1.8333666506408346,42.50293338694313,31.519660309887765,56.96690126950474,27.425125341889732,18.43538674919209,24493.448705905997,124.96590843864098,90.23838199144247,23.764898011131322,River_Interpolated,1,1,2282.8846882836638,1154.3396380615195,1,1,1,1,1,1,0.0,0.0
55.72827894480576,26.709007043945654,69.31929333842011,18.719310236487456,1.800414669612984,43.856667865741414,31.628659511613723,58.269155679324946,27.157939330638303,18.119343453933784,24462.277286417382,127.25154025567066,90.25534826424962,23.754904179203823,River_Interpolated,1,1,2083.941577875925,679.2689084596763,1,1,1,1,1,1,0.0,0.0
54.693800760398496,30.76750525706352,67.99171116368981,18.596158178652857,1.8812437457863593,49.57459252084834,31.79901620626951,52.711862119395455,29.21140748919275,19.135049224678752,28382.378489602386,136.40257882844807,90.2762482464995,23.757173112554558,River_Interpolated,1,1,1775.5280904564704,2800.697457777259,1,1,1,1,1,1,0.0,0.0
56.38915873819848,29.5401711179019,69.2581463495166,19.003426991004176,1.7921821331255976,48.623040683252945,31.912939559951376,55.582924307925786,27.859363196800377,17.45305095388431,28291.48105142227,135.5890621989221,90.27028517671143,23.74237586530263,River_Interpolated,1,1,3139.3669744074205,2657.801017758854,5,5,1,1,1,1,4.0,-4.0
57.99933578841414,27.193904920579634,69.88373464020657,18.692107163936637,1.7223528302634115,44.316976745658756,31.744459230996146,58.744173705491455,25.852818864126295,17.136320869948108,26364.06121666941,128.76709436959305,90.24991135493545,23.73409382393028,River_Interpolated,1,1,2399.641900367636,2450.7970642221685,1,1,1,1,1,1,0.0,0.0
