,Feature,Importance
0,IDW Fe > 0.76,2.6344
1,IDW Pb > -0.03,1.9294
2,IDW Cu > -0.13,1.7351
3,Num Brick Field <= -0.29,0.9112
4,IDW Ni > 0.44,0.8733
5,-0.30 < IDW Silt <= 0.88,-0.6198
6,-1.03 < IDW Cr <= 0.64,-0.2316
7,-0.36 < IDW Moisture <= -0.10,-0.1238
8,-0.07 < IDW As <= 1.41,-0.1234
9,-0.02 < IDW Sand <= 1.36,-0.1224
10,-0.59 < Hydro Dist Ind <= -0.03,-0.1178
11,-0.32 < IDW Clay <= -0.11,0.0718
12,Num Industry <= -0.26,0.0669
13,IDW Cd > -0.28,0.0396
14,Hydro Dist Brick <= -0.76,-0.0193
