,Feature,Importance
0,IDW Pb,291.3201
1,IDW Fe,229.6694
2,IDW Cd,174.8315
3,IDW Ni,151.1109
4,IDW Cu,111.1672
5,Hydro Dist Ind,106.692
6,IDW Sand,80.9444
7,Num Industry,59.2139
8,Num Brick Field,58.7753
9,IDW Clay,44.1919
10,Hydro Dist Brick,42.7179
11,IDW As,38.6554
12,IDW Silt,37.9075
13,IDW Moisture,35.4297
14,IDW Cr,28.3064
