,Feature,Importance
0,Fe <= -0.83,-21.4701
1,-0.74 < Raster Pb <= -0.38,-11.2435
2,Cu <= -0.66,-9.7748
3,Ni <= -0.93,-9.6103
4,Num Industry > -0.23,-9.0673
5,IDW As <= -0.67,-8.5499
6,IDW Cu <= -0.59,-7.761
7,IDW Ni <= -0.82,-7.6522
8,IDW Silt > 0.82,-6.3442
9,IDW Cr > 0.80,5.7995
10,Moisture <= -0.74,-4.5122
11,-0.19 < Silt <= 0.92,-4.0218
12,Hydro Dist Brick <= -0.81,3.1667
13,-0.32 < Cd <= 0.01,-2.8588
14,Sand <= -0.81,2.8533
15,IDW Sand <= -0.80,-2.2819
16,Num Brick Field > -0.26,-2.1924
17,-0.49 < Pb <= 1.11,2.1685
18,Hydro Dist Ind <= -0.67,-2.0769
19,-0.77 < IDW Clay <= -0.12,-1.4519
