CrW,NiW,CuW,AsW,CdW,PbW,MW,SandW,SiltW,ClayW,FeW,RI,Long,Lat,Source,num_brick_field,num_industry,hydro_dist_brick,hydro_dist_ind,LULC_2017,LULC_2018,LULC_2019,LULC_2020,LULC_2021,LULC_2022,CVA_Magnitude,CVA_Direction
98.06,38.56,73.26,11.24,4.18,112.68,30.93,18.11,51.46,28.32,30918.91,134.23,90.24,23.96,River_Interpolated,1,1,1622.59,2350.53,1,1,1,1,1,1,0.0,0.0
99.98,37.53,72.57,10.86,4.22,110.88,30.9,17.71,51.47,28.21,30600.68,133.67,90.24,23.95,River_Interpolated,1,1,770.25,1351.45,1,1,1,1,1,1,0.0,0.0
102.6,36.17,71.59,10.3,4.29,108.51,30.84,17.17,51.4,28.06,30149.67,133.04,90.23,23.94,River_Interpolated,1,1,1248.12,503.12,1,1,1,1,1,1,0.0,0.0
104.61,35.19,70.8,9.79,4.35,106.92,30.79,16.67,51.28,27.98,29789.13,132.84,90.22,23.93,River_Interpolated,1,1,2003.28,1400.06,1,1,1,1,1,1,0.0,0.0
103.75,35.52,71.21,10.24,4.3,106.91,30.85,17.19,51.45,27.88,29968.86,132.17,90.21,23.92,River_Interpolated,1,1,1662.69,1915.44,7,7,7,7,7,7,0.0,0.0
105.72,34.69,70.34,9.44,4.39,106.28,30.74,16.31,51.16,27.98,29576.84,132.99,90.23,23.92,River_Interpolated,1,1,2564.24,805.16,1,1,1,1,1,1,0.0,0.0
106.42,34.41,70.03,9.18,4.42,105.96,30.7,16.06,51.04,27.99,29434.67,133.19,90.23,23.91,River_Interpolated,1,1,2943.45,486.22,1,1,1,1,1,1,0.0,0.0
106.05,34.47,70.23,9.38,4.4,105.95,30.74,16.22,51.21,27.96,29532.31,132.84,90.23,23.9,River_Interpolated,1,1,2030.12,277.55,1,1,1,1,1,1,0.0,0.0
104.57,34.54,71.18,10.27,4.29,105.59,30.93,16.88,52.15,27.8,29979.36,130.94,90.23,23.89,River_Interpolated,1,1,1958.99,1023.55,1,1,1,1,1,1,0.0,0.0
102.48,32.93,73.4,12.49,4.02,102.34,31.56,17.91,55.68,27.27,31075.55,124.16,90.23,23.88,River_Interpolated,1,1,2275.03,2346.04,1,1,1,1,1,1,0.0,0.0
103.82,28.38,74.89,13.92,3.82,96.17,32.25,17.35,60.37,26.72,31818.24,116.02,90.23,23.87,River_Interpolated,1,1,2779.87,4008.29,1,1,1,1,1,1,0.0,0.0
103.94,27.78,75.07,13.98,3.81,95.93,32.34,16.88,61.19,26.79,31978.44,115.29,90.24,23.85,River_Interpolated,1,1,3286.72,2291.56,1,1,1,1,1,1,0.0,0.0
99.03,37.13,74.56,17.37,3.55,91.39,31.58,29.48,50.83,23.74,30558.26,114.73,90.24,23.84,River_Interpolated,1,1,1938.95,579.87,1,1,1,1,1,1,0.0,0.0
92.61,50.36,73.32,22.64,3.17,83.56,30.65,46.91,37.4,19.46,28837.45,111.68,90.25,23.82,River_Interpolated,1,1,531.8,388.91,1,1,1,1,1,1,0.0,0.0
89.14,57.8,72.09,25.61,2.97,79.77,30.23,55.29,31.22,17.41,28260.25,109.8,90.25,23.81,River_Interpolated,1,1,811.73,995.14,1,1,1,1,1,1,0.0,0.0
89.66,59.21,71.25,26.13,2.95,77.58,30.14,56.91,30.06,17.02,27988.57,108.12,90.24,23.8,River_Interpolated,1,1,2116.97,1057.49,1,1,1,1,1,1,0.0,0.0
86.19,55.1,77.44,25.48,2.82,81.52,30.21,59.18,28.12,16.22,27860.66,114.03,90.24,23.78,River_Interpolated,1,1,1486.61,451.73,1,1,1,1,1,1,0.0,0.0
74.82,49.88,90.05,25.32,2.44,88.89,29.81,68.69,20.05,13.55,26419.25,124.97,90.24,23.76,River_Interpolated,1,1,2282.88,1154.34,1,1,1,1,1,1,0.0,0.0
72.25,49.59,91.92,25.4,2.38,90.91,29.71,70.12,18.75,13.18,26269.23,127.25,90.26,23.75,River_Interpolated,1,1,2083.94,679.27,1,1,1,1,1,1,0.0,0.0
73.82,51.94,90.7,25.47,2.47,98.6,30.56,63.17,24.21,14.64,30009.39,136.4,90.28,23.76,River_Interpolated,1,1,1775.53,2800.7,1,1,1,1,1,1,0.0,0.0
77.22,51.03,92.59,25.88,2.38,93.59,30.8,66.98,21.83,13.36,29915.08,135.59,90.27,23.74,River_Interpolated,1,1,3139.37,2657.8,5,5,1,1,1,1,4.0,-4.0
78.15,49.33,95.18,25.6,2.33,86.85,30.4,70.73,19.1,12.62,28063.51,128.77,90.25,23.73,River_Interpolated,1,1,2399.64,2450.8,1,1,1,1,1,1,0.0,0.0
92.67,49.4,101.5,26.91,2.17,80.76,32.57,72.99,19.49,10.55,33657.24,139.66,90.27,23.72,River_Interpolated,1,1,3654.19,2969.24,1,1,1,1,1,1,0.0,0.0
98.93,50.05,103.82,27.65,2.15,81.21,33.56,74.68,19.13,9.39,36224.27,148.57,90.27,23.69,River_Interpolated,1,1,588.43,2790.19,1,1,1,1,1,1,0.0,0.0
92.7,41.44,138.95,21.74,2.21,85.42,32.41,72.27,20.61,12.06,35580.27,148.31,90.29,23.67,River_Interpolated,1,1,2162.54,492.6,1,1,1,1,1,1,0.0,0.0
87.01,25.0,185.06,14.74,1.61,66.83,31.5,68.61,23.31,14.99,35299.66,124.74,90.31,23.66,River_Interpolated,1,1,3747.42,539.82,1,1,1,1,1,1,0.0,0.0
