,Feature,Importance
0,Num Brick Field,0.005726
1,IDW Silt,0.005635
2,Pb,0.005544
3,Clay,0.005353
4,IDW Cr,0.005347
5,PMF_Factor2,0.004346
6,Cr,0.002488
7,Moisture,0.001582
8,Ni,0.001574
9,IDW Pb,0.00088
10,PMF1 GWR,0.000315
11,GWR Adjusted,0.000214
12,Hydro Dist Brick,2.4e-07
13,Hydro Dist Ind,-1.2e-07
14,GNN Spatial Features,-1.6e-05
15,Silt,-9.1e-05
16,PMF2 GWR,-0.00018
17,PMF Factor1,-0.000461
18,PMF0 GWR,-0.000538
19,Sand,-0.000999
20,Num Industry,-0.001112
21,PMF Factor0,-0.00139
22,Cu,-0.001871
23,Cd,-0.002022
24,Fe,-0.004097
25,IDW As,-0.006383
