,Feature,Importance
0,IDW Cd <= 2.10,-11.0612
1,Num Industry > 1.00,-5.1669
2,IDW Sand > 46.99,-5.0592
3,IDW As > 15.78,-4.3109
4,IDW Clay <= 23.23,-4.2326
5,IDW Silt <= 29.11,3.7679
6,29.59 < IDW Ni <= 40.56,3.4908
7,Hydro Dist Ind <= 509.29,-2.7672
8,Hydro Dist Brick <= 887.50,2.5258
9,Num Brick Field > 1.00,1.7069
10,31.75 < IDW Moisture <= 33.17,-1.6101
11,53.03 < IDW Cr <= 67.08,1.3195
12,32253.00 < IDW Fe <= 41226.06,0.8557
13,69.42 < IDW Cu <= 82.96,-0.5971
14,51.99 < IDW Pb <= 99.19,-0.5325
