,Feature,Importance
0,IDW Cd > 0.13,0.38189
1,IDW Ni > 1.28,-0.193588
2,IDW Pb > 0.63,0.156228
3,Num Industry <= 1.89,-0.152345
4,PMF0 GWR > 0.82,0.146799
5,-1.16 < IDW Silt <= -0.94,-0.079977
6,Num Brick Field <= 1.62,-0.079132
7,IDW Cr > 0.68,-0.075136
8,-0.24 < PMF Factor2 <= 0.44,-0.047808
9,IDW As > 0.64,0.040917
