,Longitude,Latitude,YTrue,YPred
0,90.52,23.64,235.85,219.51791
1,90.21,23.92,132.17,132.06616
2,90.55,23.83,186.2,182.32515
3,90.34,23.98,191.46,193.27328
4,90.23,23.87,116.02,130.56157
5,90.16,23.71,125.98,126.59527
6,90.41,23.76,204.14,196.12065
7,90.29,23.81,197.93,195.78714
8,90.34,23.79,229.02,229.87694
9,90.24,23.85,115.29,127.55511
10,90.35,23.89,204.25,222.48476
11,90.34,23.65,136.64,132.67285
12,90.31,23.8,224.21,222.49658
13,90.277077,23.702157,147.44,132.7916
14,90.26,23.75,127.25,123.55094
15,90.24,23.96,134.23,139.54572
16,90.49,23.82,85.56,94.03859
17,90.4825378,23.7640048,92.84,98.36146
18,90.42,23.89,204.28,205.59445
19,90.240038,23.858227,115.16,129.70013
20,90.47,23.9,136.98,138.80333
21,90.21,23.76,123.41,125.15
22,90.504423,23.715818,232.42,244.09357
23,90.24,23.84,114.73,121.77116
